"Name","2019 Population","GDP (IMF)","GDP (UN '16)","GDP Per Capita"
"Czech Republic",10630.589,276.961,195.305084919,26053.21304398091
"Romania",19483.36,265.265,186.690976699,13614.951425216184
"Vietnam",97429.061,264.939,205.276171343,2719.3015849757603
"Portugal",10254.666,260.353,204.836597909,25388.735235257787
"Peru",32933.835,246.714,192.209529586,7491.201677545297
"Greece",11124.603000000001,235.836,192.690813127,21199.498085459767
"New Zealand",4792.409000000001,235.328,187.517098554,49104.32310764794
"Iraq",40412.299,233.402,160.021001474,5775.518982476102
"Algeria",42679.018,208.773,159.049145187,4891.701116459615
"Qatar",2743.901,193.906,152.451923077,70668.00150588524
"Kazakhstan",18592.97,190.469,135.005203998,10244.140661766247
"Hungary",9655.360999999999,172.827,125.816640421,17899.589668371802
"Kuwait",4248.974,140.146,110.346129191,32983.49201477815
"Morocco",36635.156,129.033,103.606574896,3522.1086543210017
"Ukraine",43795.22,126.721,93.270354852,2893.4892894704035
"Angola",31787.566000000003,121.138,106.91753579,3810.861139855753
"Slovakia",5450.986999999999,119.875,89.768598023,21991.43017585623
"Ecuador",17100.444,109.866,98.010212618,6424.745462749388
"Sri Lanka",21018.859,99.651,81.321970966,4741.028045337761
"Puerto Rico",3654.978,96.98,105.0345,26533.675442095682
"Kenya",52214.791,95.803,70.525979046,1834.7866220512117
"Venezuela",32779.867999999995,92.417,291.37643734,2819.3219081907228
"Ethiopia",110135.635,89.727,70.314560872,814.6954434865701
"Guatemala",17577.842,87.819,68.76292057,4996.005766805732
"Oman",5001.875,85.636,63.170959402,17120.779707609647
"Dominican Republic",10996.774,84.585,71.58358517,7691.801250075704
"Luxembourg",596.992,77.436,58.631324559,129710.2808747856
"Myanmar",54336.138,74.974,65.697616068,1379.8183448370953
"Panama",4226.197,72.371,55.1878,17124.379199549854
"Bulgaria",6988.7390000000005,68.49,53.239643485,9800.051196646491
"Uruguay",3482.156,66.749,52.419718459,19168.871239542397
"Costa Rica",4999.384,64.85,57.435510668,12971.598100886027
"Croatia",4140.148,63.81,51.231002611,15412.492500268107
"Tanzania",60913.557,61.66,0,1012.2541358075674
"Belarus",9433.874,61.522,47.408111179,6521.393014153041
"Slovenia",2081.9,60.638,44.708598649,29126.278879869347
"Lithuania",2864.4590000000003,58.215,42.773029835,20323.209373916678
"Macau",642.09,57.573,45.311080521,89665.00023361211
"Ghana",30096.97,56.725,42.793869465,1884.7412214585056
"Lebanon",6065.922,56.379,50.457653265,9294.382618174122
"Ivory Coast",25531.083,52.979,36.767790205,2075.078444576754
"Serbia",8733.407,51.304,38.299871897,5874.45426509952
"Azerbaijan",10014.575,47.926,37.847204069,4785.624951632994
"Uzbekistan",32807.367999999995,47.892,67.778902435,1459.794031633382
"Libya",6569.8640000000005,46.923,42.959534586,7142.156976156583
"Turkmenistan",5942.561,46.401,36.179885714,7808.249675518687
"Jordan",10069.794,44.794,38.654647887,4448.353163927683
"Bolivia",11379.861,43.804,33.806395465,3849.2561552377483
"DR Congo",86727.573,43.663,40.337492609,503.4500388936284
"Tunisia",11783.168,41.956,41.703561397,3560.6723081602504
"Cameroon",25312.993,41.748,32.217073816,1649.27158159448
"Bahrain",1637.896,39.703,32.179073596,24240.244801867764
"Latvia",1911.108,38.621,27.572698482,20208.69568857438
"Paraguay",6981.981,34.615,27.165101909,4957.761987607815
"Estonia",1303.798,33.267,23.33792056,25515.455615056937
"Iceland",340.566,31.646,20.269659972,92921.78314922805
"El Salvador",6445.405,30.709,26.797469656,4764.479501288127
"Uganda",45711.874,29.69,25.307842467,649.5030153434532
"Nepal",29942.017999999996,28.75,20.914004957,960.1891228573841
"Papua New Guinea",8586.525,27.411,19.694115731,3192.327513167434
"Zambia",18137.369,27.217,21.063063977,1500.6035329600452
"Cambodia",16482.646,26.628,20.016747858,1615.5173143923614
"Cyprus",1198.427,26.359,20.046234311,21994.664672942115
"Honduras",9568.688,24.823,21.516915353,2594.1905515155263
"Afghanistan",37209.007000000005,22.925,20.23506333,616.1142650219072
"Trinidad and Tobago",1375.443,22.533,24.086176564,16382.358265664227
"Senegal",16743.859,21.722,14.604520531,1297.3114501262821
"Bosnia and Herzegovina",3501.7740000000003,21.502,16.909904149,6140.316308248333
"Zimbabwe",17297.495,21.067,16.123763648,1217.922017031946
"Laos",7064.241999999999,20.059,15.80570709,2839.51200992265
"Botswana",2374.636,19.268,15.566057294,8114.085695660304
"Mali",19689.14,19.247,14.001696748,977.5439658613835
"Gabon",2109.099,18.096,13.863183526,8579.967085471093
"Yemen",29579.986,17.452,25.374086438,589.9935179144439
"Georgia",3904.204,17.433,14.332728707,4465.186757659179
"Albania",2938.428,16.146,11.863866791,5494.774757115029
"Malta",433.245,16.046,10.998577038,37036.780574501725
"Burkina Faso",20321.56,15.867,11.695117109,780.7963561852534
"Jamaica",2906.3390000000004,15.845,14.056901075,5451.876054376313
"Nicaragua",6351.156999999999,15.499,13.230214875,2440.342759594827
"Mozambique",31408.822999999997,15.017,10.930131568,478.1140636820425
"Brunei",439.336,14.791,11.400266878,33666.71522479378
"Mauritius",1271.368,14.217,12.216235024,11182.442848962693
"Namibia",2641.9959999999996,14.071,10.947277246,5325.897541101502
"Macedonia",2086.72,13.904,10.745782586,6663.088483361448
"Mongolia",3166.244,13.786,11.160356685,4354.054835950735
"Madagascar",26969.642000000003,13.559,11.222263845,502.7504629093704
"Bahamas",403.095,12.899,11.2618,31999.900767809075
"Armenia",2936.7059999999997,12.696,10.572299425,4323.211107955649
"Chad",15814.345,12.24,11.267295771,773.9808382832169
"Benin",11801.595,12.2,8.893638002,1033.7585724641458
"Guinea",13398.18,11.698,8.476136811,873.103660347898
"Equatorial Guinea",1360.104,11.386,10.677940568,8371.418656220407
"Republic of the Congo",5542.196999999999,10.923,7.778081883,1970.879057528991
"Niger",23176.691000000003,10.717,7.528285819,462.40423190696197
"Rwanda",12794.412,10.532,8.473784827,823.1718659677365
"Moldova",4029.75,9.903,6.772647958,2457.472547924809
"Haiti",11242.856000000002,9.751,7.647347306,867.3063143386341
"Somalia",15636.171,8.21,1.318057519,525.0646082087488
"Tajikistan",9292,8.176,6.951679338,879.896685320706
"Kyrgyzstan",6218.616,8.029,6.55129114,1291.1232981743847
"Eritrea",5309.659000000001,7.717,5.413804303,1453.38900294727
"Malawi",19718.743000000002,7.024,5.318197658,356.20931821059787
"Togo",8186.384,6.078,4.449262345,742.4523452601295
"Montenegro",629.355,5.862,4.373958354,9314.297971732964
"Fiji",918.757,5.794,4.671118364,6306.346509468772
"Mauritania",4661.149,5.54,4.66711932,1188.5481455323568
"Barbados",287.01,5.516,4.552793288,19218.842549040102
"Maldives",451.73800000000006,5.169,4.224207488,11442.47329204096
"Swaziland",1415.414,4.644,4.007002048,3281.0188397175666
"Burundi",11575.964,4.526,2.873699606,390.9825566147234
"Suriname",573.085,4.226,3.278445033,7374.124257309125
"Sierra Leone",7883.1230000000005,3.976,3.674756785,504.36863664311716
"Guyana",786.508,3.911,3.436626633,4972.6131202734105
"Liberia",4977.72,3.534,2.756817825,709.9635977917601
"Lesotho",2292.6820000000002,3.062,2.241017076,1335.5537313940615
"Timor-Leste",1352.36,3.029,2.703285752,2239.788222071046
"South Sudan",13263.184,2.807,6.534451826,211.6384723306259
"Bhutan",826.2289999999999,2.8,2.212642587,3388.8909733257974
"Djibouti",985.69,2.38,1.891520369,2414.552242591484
"Central African Republic",4825.710999999999,2.334,1.81038874,483.659299116752
"Cape Verde",560.349,2.099,1.638928099,3745.8797999104127
"Belize",390.231,1.987,1.7411,5091.855849484024
"San Marino",33.683,1.864,1.590761265,55339.488762877416
"Saint Lucia",180.454,1.825,1.397066906,10113.380695357266
"Guinea-Bissau",1953.723,1.728,1.122643236,884.4651979835422
"Antigua and Barbuda",104.084,1.693,1.460157909,16265.708466238806
"Seychelles",95.70200000000001,1.659,1.433826317,17335.060918267118
"Solomon Islands",635.254,1.463,1.133967215,2303.0158015533943
"Grenada",108.825,1.249,1.016208148,11477.14220078107
"Gambia",2228.075,1.159,0.985831536,520.179975988241
"Vanuatu",288.017,1.024,0.83751979,3555.3456914001604
"Saint Kitts and Nevis",56.345,1.024,0.90985462,18173.75099831396
"Samoa",198.90900000000002,0.92,0.822233281,4625.23063310358
"Saint Vincent and the Grenadines",110.488,0.871,0.765318745,7883.2090362754325
"Comoros",850.91,0.781,1.149802573,917.8408997426285
"Dominica",74.679,0.542,0.581484032,7257.729749996653
"Sao Tome and Principe",213.37900000000002,0.489,0.342781695,2291.6969336251454
"Tonga",110.041,0.454,0.401460313,4125.7349533355755
"Micronesia",106.98299999999999,0.342,0.329895643,3196.769580213679
"Palau",22.206,0.341,0.310248,15356.210033324327
"Kiribati",120.428,0.22,0.173655146,1826.8176835951772
"Marshall Islands",53.211000000000006,0.211,0.183,3965.345511266467
"Nauru",11.26,0.114,0.103469824,10124.333925399646
"Tuvalu",11.392999999999999,0.045,0.036697185,3949.793732993944
"Turks and Caicos Islands",36.461,0,0.917550492,25165.258550231756
"Syria",18499.181,0,22.163075121,1198.0570989061623
"Sudan",42514.094000000005,0,82.887395895,1949.6451199218777
"Palestine",5186.79,0,13.3971,2582.92701266101
"Sint Maarten",40.939,0,1.072067039,26186.937614499624
"Pakistan",204596.44199999998,0,282.506007859,1380.7962890136675
"New Caledonia",283.376,0,9.445714851,33332.797594009375
"Montserrat",5.22,0,0.062051375,11887.236590038316
"Monaco",39.102,0,6.468000877,165413.55626310676
"Liechtenstein",38.404,0,6.193677543,161276.88633996455
"Greenland",56.673,0,2.282927882,40282.46046618319
"French Polynesia",288.506,0,5.417934152,18779.277214338697
"Egypt",101168.745,0,270.143813412,2670.229955032061
"North Korea",25727.408,0,16.788601831,652.5570640851189
"Cura̤ao",162.547,0,3.121449966,19203.368662602203
"Cuba",11492.046,0,89.6887,7804.4153321349395
"Cook Islands",17.462,0,0.290194195,16618.611556522737
"Cayman Islands",63.129,0,3.844080626,60892.46821587543
"British Virgin Islands",32.205999999999996,0,0.97123711,30157.023846488235
"Bermuda",60.833,0,6.127341,100723.96561077048
"Aruba",106.053,0,2.667039106,25148.172196920405
"Anguilla",15.174000000000001,0,0.33752047,22243.34190061948
"Andorra",77.072,0,2.858406626,37087.48476749013
